"X--Trace 1::[V(in), Temperature=-40]","Y--Trace 1::[V(in), Temperature=-40]",,"X--Trace 2::[V(out), Temperature=-40]","Y--Trace 2::[V(out), Temperature=-40]",,"X--Trace 3::[V(in), Temperature=-30]","Y--Trace 3::[V(in), Temperature=-30]",,"X--Trace 4::[V(out), Temperature=-30]","Y--Trace 4::[V(out), Temperature=-30]",,"X--Trace 5::[V(in), Temperature=-20]","Y--Trace 5::[V(in), Temperature=-20]",,"X--Trace 6::[V(out), Temperature=-20]","Y--Trace 6::[V(out), Temperature=-20]",,"X--Trace 7::[V(in), Temperature=-10]","Y--Trace 7::[V(in), Temperature=-10]",,"X--Trace 8::[V(out), Temperature=-10]","Y--Trace 8::[V(out), Temperature=-10]",,"X--Trace 9::[V(in), Temperature=0]","Y--Trace 9::[V(in), Temperature=0]",,"X--Trace 10::[V(out), Temperature=0]","Y--Trace 10::[V(out), Temperature=0]",,"X--Trace 11::[V(in), Temperature=10]","Y--Trace 11::[V(in), Temperature=10]",,"X--Trace 12::[V(out), Temperature=10]","Y--Trace 12::[V(out), Temperature=10]",,"X--Trace 13::[V(in), Temperature=20]","Y--Trace 13::[V(in), Temperature=20]",,"X--Trace 14::[V(out), Temperature=20]","Y--Trace 14::[V(out), Temperature=20]",,"X--Trace 15::[V(in), Temperature=30]","Y--Trace 15::[V(in), Temperature=30]",,"X--Trace 16::[V(out), Temperature=30]","Y--Trace 16::[V(out), Temperature=30]",,"X--Trace 17::[V(in), Temperature=40]","Y--Trace 17::[V(in), Temperature=40]",,"X--Trace 18::[V(out), Temperature=40]","Y--Trace 18::[V(out), Temperature=40]",,"X--Trace 19::[V(in), Temperature=50]","Y--Trace 19::[V(in), Temperature=50]",,"X--Trace 20::[V(out), Temperature=50]","Y--Trace 20::[V(out), Temperature=50]",,"X--Trace 21::[V(in), Temperature=60]","Y--Trace 21::[V(in), Temperature=60]",,"X--Trace 22::[V(out), Temperature=60]","Y--Trace 22::[V(out), Temperature=60]"
0.0041,0.00960294,,0.0041,2.94987,,0.0041,0.00960294,,0.0041,2.94985,,0.0041,0.00960294,,0.0041,2.94983,,0.0041,0.00960294,,0.0041,2.94981,,0.0041,0.00960294,,0.0041,2.94979,,0.0041,0.00960294,,0.0041,2.94978,,0.0041,0.00960294,,0.0041,2.94976,,0.0041,0.00960294,,0.0041,2.94975,,0.0041,0.00960294,,0.0041,2.94975,,0.0041,0.00960294,,0.0041,2.94974,,0.0041,0.00960294,,0.0041,2.94973
0.00535,0.00993961,,0.00535,3.00373,,0.00535,0.00993961,,0.00535,3.00382,,0.00535,0.00993961,,0.00535,3.0039,,0.00535,0.00993961,,0.00535,3.00399,,0.00535,0.00993961,,0.00535,3.00408,,0.00535,0.00993961,,0.00535,3.00417,,0.00535,0.00993961,,0.00535,3.00427,,0.00535,0.00993961,,0.00535,3.00436,,0.00535,0.00993961,,0.00535,3.00446,,0.00535,0.00993961,,0.00535,3.00456,,0.00535,0.00993961,,0.00535,3.00466
0.0066,0.00876307,,0.0066,2.83001,,0.0066,0.00876307,,0.0066,2.83022,,0.0066,0.00876307,,0.0066,2.83044,,0.0066,0.00876307,,0.0066,2.83066,,0.0066,0.00876307,,0.0066,2.83088,,0.0066,0.00876307,,0.0066,2.8311,,0.0066,0.00876307,,0.0066,2.83133,,0.0066,0.00876307,,0.0066,2.83155,,0.0066,0.00876307,,0.0066,2.83178,,0.0066,0.00876307,,0.0066,2.83201,,0.0066,0.00876307,,0.0066,2.83225
0.00785,0.00625243,,0.00785,2.45509,,0.00785,0.00625243,,0.00785,2.45542,,0.00785,0.00625243,,0.00785,2.45576,,0.00785,0.00625243,,0.00785,2.4561,,0.00785,0.00625243,,0.00785,2.45644,,0.00785,0.00625243,,0.00785,2.45678,,0.00785,0.00625243,,0.00785,2.45713,,0.00785,0.00625243,,0.00785,2.45747,,0.00785,0.00625243,,0.00785,2.45782,,0.00785,0.00625243,,0.00785,2.45817,,0.00785,0.00625243,,0.00785,2.45852
0.0091,0.00278991,,0.0091,1.93611,,0.0091,0.00278991,,0.0091,1.93655,,0.0091,0.00278991,,0.0091,1.93699,,0.0091,0.00278991,,0.0091,1.93743,,0.0091,0.00278991,,0.0091,1.93787,,0.0091,0.00278991,,0.0091,1.93832,,0.0091,0.00278991,,0.0091,1.93877,,0.0091,0.00278991,,0.0091,1.93922,,0.0091,0.00278991,,0.0091,1.93967,,0.0091,0.00278991,,0.0091,1.94012,,0.0091,0.00278991,,0.0091,1.94058
0.01035,-0.00109734,,0.01035,1.35202,,0.01035,-0.00109734,,0.01035,1.35252,,0.01035,-0.00109734,,0.01035,1.35302,,0.01035,-0.00109734,,0.01035,1.35353,,0.01035,-0.00109734,,0.01035,1.35403,,0.01035,-0.00109734,,0.01035,1.35454,,0.01035,-0.00109734,,0.01035,1.35504,,0.01035,-0.00109734,,0.01035,1.35555,,0.01035,-0.00109734,,0.01035,1.35606,,0.01035,-0.00109734,,0.01035,1.35657,,0.01035,-0.00109734,,0.01035,1.35709
0.0116,-0.00481754,,0.0116,0.791811,,0.0116,-0.00481754,,0.0116,0.792326,,0.0116,-0.00481754,,0.0116,0.792844,,0.0116,-0.00481754,,0.0116,0.793364,,0.0116,-0.00481754,,0.0116,0.793886,,0.0116,-0.00481754,,0.0116,0.794409,,0.0116,-0.00481754,,0.0116,0.794935,,0.0116,-0.00481754,,0.0116,0.795462,,0.0116,-0.00481754,,0.0116,0.795992,,0.0116,-0.00481754,,0.0116,0.796523,,0.0116,-0.00481754,,0.0116,0.797058
0.01285,-0.0078043,,0.01285,0.3427,,0.01285,-0.0078043,,0.01285,0.347269,,0.01285,-0.0078043,,0.01285,0.355862,,0.01285,-0.0078043,,0.01285,0.368426,,0.01285,-0.0078043,,0.01285,0.383902,,0.01285,-0.0078043,,0.01285,0.401332,,0.01285,-0.0078043,,0.01285,0.420099,,0.01285,-0.0078043,,0.01285,0.43977,,0.01285,-0.0078043,,0.01285,0.460147,,0.01285,-0.0078043,,0.01285,0.481005,,0.01285,-0.0078043,,0.01285,0.502301
0.0141,-0.00960294,,0.0141,0.2518,,0.0141,-0.00960294,,0.0141,0.273546,,0.0141,-0.00960294,,0.0141,0.295471,,0.0141,-0.00960294,,0.0141,0.317584,,0.0141,-0.00960294,,0.0141,0.339845,,0.0141,-0.00960294,,0.0141,0.362239,,0.0141,-0.00960294,,0.0141,0.384755,,0.0141,-0.00960294,,0.0141,0.407387,,0.0141,-0.00960294,,0.0141,0.430126,,0.0141,-0.00960294,,0.0141,0.452967,,0.0141,-0.00960294,,0.0141,0.475903
0.0151947,-0.0099813,,0.0151947,0.247302,,0.01517,-0.00998573,,0.01517,0.269316,,0.0151503,-0.00998886,,0.0151503,0.291444,,0.0151325,-0.00999134,,0.0151325,0.313679,,0.0151149,-0.00999348,,0.0151149,0.336043,,0.0150963,-0.00999543,,0.0150963,0.358503,,0.0150976,-0.0099953,,0.0150976,0.381079,,0.0151491,-0.00998903,,0.0151491,0.403788,,0.0152065,-0.00997896,,0.0152065,0.426643,,0.01535,-0.00993961,,0.01535,0.449834,,0.01535,-0.00993961,,0.01535,0.472762
0.01628,-0.00920233,,0.01628,0.258387,,0.0162257,-0.00926778,,0.0162257,0.278533,,0.0161823,-0.00931811,,0.0161823,0.299394,,0.0161439,-0.00936117,,0.0161439,0.320692,,0.0161064,-0.00940194,,0.0161064,0.342278,,0.0161297,-0.00937682,,0.0161297,0.364888,,0.0161797,-0.00932101,,0.0161797,0.38799,,0.0162657,-0.00921982,,0.0162657,0.411741,,0.0163615,-0.00909911,,0.0163615,0.435822,,0.01652,-0.00888138,,0.01652,0.461249,,0.0165909,-0.0087768,,0.0165909,0.485297
0.01753,-0.00700414,,0.01753,0.453246,,0.0174757,-0.00712492,,0.0174757,0.4367,,0.0174323,-0.00721988,,0.0174323,0.424295,,0.0173939,-0.00730273,,0.0173939,0.415661,,0.0173564,-0.0073827,,0.0173564,0.41326,,0.0173797,-0.00733325,,0.0173797,0.428444,,0.0174297,-0.00722542,,0.0174297,0.449484,,0.0175157,-0.00703613,,0.0175157,0.476847,,0.0176115,-0.0068191,,0.0176115,0.506493,,0.01777,-0.0064466,,0.01777,0.551253,,0.0178409,-0.00627471,,0.0178409,0.577205
0.01878,-0.00373962,,0.01878,0.935385,,0.0187257,-0.00389735,,0.0187257,0.910414,,0.0186823,-0.00402249,,0.0186823,0.890583,,0.0186439,-0.00413252,,0.0186439,0.873295,,0.0186064,-0.0042395,,0.0186064,0.856949,,0.0186297,-0.00417326,,0.0186297,0.866973,,0.0186797,-0.00402983,,0.0186797,0.888674,,0.0187657,-0.00378125,,0.0187657,0.926106,,0.0188615,-0.00350094,,0.0188615,0.968343,,0.01902,-0.00303039,,0.01902,1.03918,,0.0190909,-0.00281735,,0.0190909,1.0715
0.02003,9.4213e-005,,0.02003,1.51752,,0.0199757,-7.64489e-005,,0.0199757,1.49295,,0.0199323,-0.000212708,,0.0199323,1.47337,,0.0198939,-0.000333172,,0.0198939,1.45587,,0.0198564,-0.000450883,,0.0198564,1.43835,,0.0198797,-0.000377933,,0.0198797,1.44909,,0.0199297,-0.000220725,,0.0199297,1.47238,,0.0200157,4.92885e-005,,0.0200157,1.51263,,0.0201115,0.000350206,,0.0201115,1.55748,,0.02027,0.000847179,,0.02027,1.63171,,0.0203409,0.00106893,,0.0203409,1.66452
0.02128,0.00391371,,0.02128,2.0863,,0.0212257,0.00375609,,0.0212257,2.06129,,0.0211823,0.00362945,,0.0211823,2.04114,,0.0211439,0.0035169,,0.0211439,2.02339,,0.0211064,0.00340638,,0.0211064,2.00638,,0.0211297,0.00347494,,0.0211297,2.0167,,0.0211797,0.00362198,,0.0211797,2.03895,,0.0212657,0.00387232,,0.0212657,2.07675,,0.0213615,0.00414804,,0.0213615,2.11843,,0.02152,0.00459577,,0.02152,2.18613,,0.0215909,0.00479247,,0.0215909,2.21606
0.02253,0.00713737,,0.02253,2.57848,,0.0224757,0.0070168,,0.0224757,2.56118,,0.0224323,0.00691906,,0.0224323,2.54716,,0.0223939,0.00683155,,0.0223939,2.53443,,0.0223564,0.00674505,,0.0223564,2.52145,,0.0223797,0.00679878,,0.0223797,2.52932,,0.0224297,0.00691327,,0.0224297,2.54629,,0.0225157,0.00710583,,0.0225157,2.5751,,0.0226115,0.00731436,,0.0226115,2.60631,,0.02277,0.00764469,,0.02277,2.65592,,0.0228409,0.0077864,,0.0228409,2.67693
